store_id,promo_id,start_date,end_date
STR_001,PRM_006,2021-01-10,2021-01-21
STR_001,PRM_002,2021-02-11,2021-02-22
STR_001,PRM_003,2021-03-03,2021-03-15
STR_001,PRM_004,2021-04-18,2021-04-26
STR_001,PRM_005,2021-05-04,2021-05-18
STR_001,PRM_001,2021-06-09,2021-06-14
STR_001,PRM_003,2021-07-03,2021-07-07
STR_001,PRM_002,2021-10-18,2021-10-27
STR_001,PRM_003,2021-12-02,2021-12-14
STR_001,PRM_004,2022-01-17,2022-01-27
STR_001,PRM_001,2022-03-13,2022-03-22
STR_001,PRM_002,2022-04-12,2022-04-23
STR_001,PRM_005,2022-05-06,2022-05-11
STR_001,PRM_002,2022-06-14,2022-06-24
STR_001,PRM_005,2022-07-17,2022-07-25
STR_001,PRM_001,2022-09-16,2022-09-25
STR_001,PRM_002,2022-10-18,2022-10-30
STR_001,PRM_003,2022-11-18,2022-11-23
STR_001,PRM_006,2022-12-04,2022-12-08
STR_001,PRM_002,2023-01-01,2023-01-04
STR_001,PRM_004,2023-04-04,2023-04-19
STR_001,PRM_003,2023-06-17,2023-06-21
STR_001,PRM_003,2023-07-02,2023-07-05
STR_001,PRM_006,2023-08-16,2023-08-27
STR_001,PRM_004,2023-10-07,2023-10-17
STR_001,PRM_003,2023-11-14,2023-11-17
STR_001,PRM_004,2023-12-20,2023-12-31
STR_001,PRM_003,2024-01-07,2024-01-16
STR_001,PRM_001,2024-05-03,2024-05-16
STR_001,PRM_005,2024-06-06,2024-06-15
STR_001,PRM_004,2024-07-06,2024-07-16
STR_001,PRM_005,2024-10-02,2024-10-13
STR_001,PRM_002,2024-11-12,2024-11-16
STR_001,PRM_004,2025-01-05,2025-01-19
STR_001,PRM_004,2025-02-06,2025-02-19
STR_001,PRM_006,2025-04-10,2025-04-13
STR_001,PRM_003,2025-05-01,2025-05-05
STR_001,PRM_005,2025-06-09,2025-06-23
STR_001,PRM_003,2025-07-17,2025-07-24
STR_001,PRM_003,2025-08-08,2025-08-23
STR_001,PRM_003,2025-09-06,2025-09-16
STR_001,PRM_003,2025-11-14,2025-11-28
STR_001,PRM_001,2025-12-04,2025-12-16
STR_002,PRM_001,2021-01-14,2021-01-18
STR_002,PRM_001,2021-02-09,2021-02-19
STR_002,PRM_003,2021-04-03,2021-04-10
STR_002,PRM_005,2021-05-13,2021-05-22
STR_002,PRM_005,2021-06-02,2021-06-13
STR_002,PRM_002,2021-07-01,2021-07-04
STR_002,PRM_006,2021-08-05,2021-08-18
STR_002,PRM_003,2021-09-02,2021-09-06
STR_002,PRM_003,2021-10-06,2021-10-09
STR_002,PRM_002,2021-12-20,2021-12-30
STR_002,PRM_004,2022-02-11,2022-02-16
STR_002,PRM_004,2022-03-14,2022-03-20
STR_002,PRM_001,2022-04-01,2022-04-16
STR_002,PRM_001,2022-05-06,2022-05-12
STR_002,PRM_005,2022-07-01,2022-07-06
STR_002,PRM_002,2022-08-19,2022-09-03
STR_002,PRM_004,2022-09-12,2022-09-15
STR_002,PRM_006,2022-10-16,2022-10-27
STR_002,PRM_003,2022-11-09,2022-11-17
STR_002,PRM_005,2023-02-15,2023-02-27
STR_002,PRM_004,2023-03-09,2023-03-19
STR_002,PRM_006,2023-04-08,2023-04-15
STR_002,PRM_003,2023-05-07,2023-05-15
STR_002,PRM_001,2023-06-12,2023-06-19
STR_002,PRM_001,2023-07-04,2023-07-17
STR_002,PRM_002,2023-09-20,2023-10-02
STR_002,PRM_001,2023-10-11,2023-10-22
STR_002,PRM_004,2023-12-03,2023-12-11
STR_002,PRM_001,2024-01-15,2024-01-26
STR_002,PRM_003,2024-03-13,2024-03-25
STR_002,PRM_003,2024-04-18,2024-05-01
STR_002,PRM_005,2024-05-03,2024-05-12
STR_002,PRM_001,2024-07-06,2024-07-12
STR_002,PRM_006,2024-08-01,2024-08-04
STR_002,PRM_001,2024-10-15,2024-10-25
STR_002,PRM_004,2024-12-01,2024-12-05
STR_002,PRM_004,2025-01-08,2025-01-17
STR_002,PRM_002,2025-02-06,2025-02-12
STR_002,PRM_005,2025-03-15,2025-03-23
STR_002,PRM_003,2025-04-18,2025-04-29
STR_002,PRM_002,2025-05-20,2025-05-24
STR_002,PRM_004,2025-06-15,2025-06-29
STR_002,PRM_006,2025-07-14,2025-07-22
STR_002,PRM_003,2025-09-08,2025-09-15
STR_002,PRM_006,2025-11-05,2025-11-19
STR_003,PRM_004,2021-01-10,2021-01-22
STR_003,PRM_006,2021-03-16,2021-03-27
STR_003,PRM_005,2021-04-12,2021-04-20
STR_003,PRM_003,2021-06-19,2021-07-03
STR_003,PRM_003,2021-08-17,2021-08-22
STR_003,PRM_004,2021-09-20,2021-10-02
STR_003,PRM_002,2021-10-03,2021-10-18
STR_003,PRM_003,2021-12-13,2021-12-25
STR_003,PRM_003,2022-02-12,2022-02-18
STR_003,PRM_006,2022-03-07,2022-03-20
STR_003,PRM_002,2022-06-15,2022-06-30
STR_003,PRM_001,2022-08-13,2022-08-20
STR_003,PRM_006,2022-10-01,2022-10-06
STR_003,PRM_006,2022-11-09,2022-11-16
STR_003,PRM_002,2022-12-19,2022-12-31
STR_003,PRM_001,2023-01-03,2023-01-11
STR_003,PRM_004,2023-02-11,2023-02-18
STR_003,PRM_001,2023-03-08,2023-03-21
STR_003,PRM_002,2023-04-05,2023-04-14
STR_003,PRM_004,2023-05-05,2023-05-16
STR_003,PRM_001,2023-06-13,2023-06-21
STR_003,PRM_005,2023-07-02,2023-07-10
STR_003,PRM_005,2023-09-20,2023-10-03
STR_003,PRM_003,2023-10-13,2023-10-26
STR_003,PRM_002,2023-11-12,2023-11-20
STR_003,PRM_003,2023-12-04,2023-12-18
STR_003,PRM_001,2024-02-03,2024-02-10
STR_003,PRM_005,2024-03-06,2024-03-14
STR_003,PRM_001,2024-04-14,2024-04-19
STR_003,PRM_004,2024-05-08,2024-05-14
STR_003,PRM_006,2024-06-17,2024-06-21
STR_003,PRM_005,2024-07-09,2024-07-22
STR_003,PRM_005,2024-08-06,2024-08-11
STR_003,PRM_001,2024-09-01,2024-09-06
STR_003,PRM_003,2024-10-04,2024-10-07
STR_003,PRM_002,2024-11-15,2024-11-25
STR_003,PRM_005,2024-12-13,2024-12-17
STR_003,PRM_004,2025-01-08,2025-01-13
STR_003,PRM_002,2025-05-16,2025-05-30
STR_003,PRM_003,2025-07-17,2025-07-29
STR_003,PRM_003,2025-08-06,2025-08-14
STR_003,PRM_006,2025-09-09,2025-09-23
STR_003,PRM_003,2025-10-15,2025-10-22
STR_003,PRM_006,2025-11-12,2025-11-23
STR_003,PRM_004,2025-12-03,2025-12-07
STR_004,PRM_001,2021-02-10,2021-02-18
STR_004,PRM_001,2021-03-20,2021-03-29
STR_004,PRM_002,2021-04-12,2021-04-15
STR_004,PRM_004,2021-05-10,2021-05-17
STR_004,PRM_004,2021-06-16,2021-06-25
STR_004,PRM_003,2021-07-01,2021-07-07
STR_004,PRM_004,2021-09-20,2021-10-05
STR_004,PRM_005,2021-10-01,2021-10-04
STR_004,PRM_005,2021-11-20,2021-11-26
STR_004,PRM_005,2021-12-17,2021-12-20
STR_004,PRM_003,2022-01-19,2022-01-31
STR_004,PRM_001,2022-02-17,2022-02-26
STR_004,PRM_002,2022-04-08,2022-04-20
STR_004,PRM_004,2022-07-08,2022-07-11
STR_004,PRM_005,2022-10-04,2022-10-16
STR_004,PRM_006,2022-11-14,2022-11-20
STR_004,PRM_004,2022-12-07,2022-12-22
STR_004,PRM_003,2023-02-18,2023-03-05
STR_004,PRM_006,2023-04-01,2023-04-05
STR_004,PRM_005,2023-06-09,2023-06-19
STR_004,PRM_005,2023-08-06,2023-08-10
STR_004,PRM_004,2023-09-11,2023-09-16
STR_004,PRM_004,2023-10-12,2023-10-18
STR_004,PRM_006,2023-11-06,2023-11-13
STR_004,PRM_005,2023-12-10,2023-12-15
STR_004,PRM_002,2024-01-11,2024-01-22
STR_004,PRM_005,2024-03-17,2024-03-30
STR_004,PRM_003,2024-05-16,2024-05-21
STR_004,PRM_001,2024-07-04,2024-07-12
STR_004,PRM_002,2024-09-03,2024-09-06
STR_004,PRM_005,2024-10-19,2024-10-30
STR_004,PRM_001,2024-11-15,2024-11-25
STR_004,PRM_005,2025-03-18,2025-03-26
STR_004,PRM_006,2025-04-05,2025-04-13
STR_004,PRM_001,2025-05-10,2025-05-22
STR_004,PRM_002,2025-06-09,2025-06-13
STR_004,PRM_004,2025-07-11,2025-07-25
STR_004,PRM_001,2025-08-20,2025-09-03
STR_004,PRM_001,2025-09-01,2025-09-07
STR_004,PRM_002,2025-10-05,2025-10-18
STR_005,PRM_005,2021-01-10,2021-01-25
STR_005,PRM_005,2021-02-12,2021-02-16
STR_005,PRM_001,2021-03-20,2021-04-01
STR_005,PRM_004,2021-04-17,2021-04-21
STR_005,PRM_005,2021-05-08,2021-05-16
STR_005,PRM_005,2021-06-10,2021-06-23
STR_005,PRM_002,2021-09-18,2021-10-02
STR_005,PRM_001,2021-10-10,2021-10-24
STR_005,PRM_001,2022-01-16,2022-01-30
STR_005,PRM_004,2022-02-20,2022-02-23
STR_005,PRM_003,2022-03-11,2022-03-23
STR_005,PRM_005,2022-04-16,2022-04-21
STR_005,PRM_004,2022-05-14,2022-05-17
STR_005,PRM_002,2022-06-13,2022-06-17
STR_005,PRM_002,2022-08-01,2022-08-07
STR_005,PRM_002,2022-09-07,2022-09-16
STR_005,PRM_003,2022-10-13,2022-10-23
STR_005,PRM_002,2023-01-15,2023-01-30
