store_id,year,month,total_sales,total_transactions,total_items,city,state,location_type,store_format,store_size_sqft,launch_date,competition_density,avg_monthly_footfall,avg_monthly_sales,zone,days_festive,days_festival_named,days_weekend,days_in_month,days_BOGO,days_Flat_50,days_Kids_Special,days_Summer_Sale,days_Festive_Bonanza,days_Clearance
STR_001,2021,1,10126415.82,1919,5831,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,2,2,10,31,0,0,0,0,0,12
STR_001,2021,2,7777073.88,1539,4712,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,28,0,12,0,0,0,0
STR_001,2021,3,8928107.61,1722,5204,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,8,31,0,0,13,0,0,0
STR_001,2021,4,8882281.6,1630,5059,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,30,0,0,0,9,0,0
STR_001,2021,5,9471397.2,1814,5590,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,10,31,0,0,0,0,15,0
STR_001,2021,6,9040307.31,1737,5324,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,30,6,0,0,0,0,0
STR_001,2021,7,8975035.98,1742,5162,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,9,31,0,0,5,0,0,0
STR_001,2021,8,10666154.22,1926,6091,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,9,31,0,0,0,0,0,0
STR_001,2021,9,9155870.25,1718,5185,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,30,0,0,0,0,0,0
STR_001,2021,10,9862469.91,1907,5895,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,10,31,0,10,0,0,0,0
STR_001,2021,11,9548499.13,1744,5469,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,8,30,0,0,0,0,0,0
STR_001,2021,12,9530342.46,1805,5537,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,8,31,0,0,13,0,0,0
STR_001,2022,1,10132772.1,1894,5884,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,2,2,10,31,0,0,0,11,0,0
STR_001,2022,2,8403790.9,1610,4877,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,28,0,0,0,0,0,0
STR_001,2022,3,9623922.39,1901,6005,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,8,31,10,0,0,0,0,0
STR_001,2022,4,8809227.96,1773,5307,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,9,30,0,12,0,0,0,0
STR_001,2022,5,10137077.2,1884,5929,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,9,31,0,0,0,0,6,0
STR_001,2022,6,8754633.57,1674,5187,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,30,0,11,0,0,0,0
STR_001,2022,7,9537625.25,1790,5456,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,10,31,0,0,0,0,9,0
STR_001,2022,8,9910395.19,1847,5609,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,8,31,0,0,0,0,0,0
STR_001,2022,9,8911564.11,1705,5364,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,30,10,0,0,0,0,0
STR_001,2022,10,10393444.05,1966,6190,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,2,2,10,31,0,13,0,0,0,0
STR_001,2022,11,8584115.18,1668,4959,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,30,0,0,6,0,0,0
STR_001,2022,12,10052212.68,1836,5624,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,9,31,0,0,0,0,0,5
STR_001,2023,1,9952479.8,1811,5728,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,2,2,9,31,0,4,0,0,0,0
STR_001,2023,2,8717995.28,1620,4897,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,28,0,0,0,0,0,0
STR_001,2023,3,10156266.54,1869,5726,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,8,31,0,0,0,0,0,0
STR_001,2023,4,9688356.78,1796,5529,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,10,30,0,0,0,16,0,0
STR_001,2023,5,9551673.12,1762,5402,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,31,0,0,0,0,0,0
STR_001,2023,6,8819580.18,1668,5084,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,30,0,0,5,0,0,0
STR_001,2023,7,9586822.41,1771,5541,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,10,31,0,0,4,0,0,0
STR_001,2023,8,9904312.93,1827,5620,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,8,31,0,0,0,0,0,12
STR_001,2023,9,9673415.87,1794,5480,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,9,30,0,0,0,0,0,0
STR_001,2023,10,10315519.32,1906,5934,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,9,31,0,0,0,11,0,0
STR_001,2023,11,9676269.22,1787,5554,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,8,30,0,0,4,0,0,0
STR_001,2023,12,9712480.89,1858,5643,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,1,1,10,31,0,0,0,12,0,0
STR_001,2024,1,9723508.27,1815,5558,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,2,2,8,31,0,0,10,0,0,0
STR_001,2024,2,8818650.86,1630,4973,Ahmedabad,Gujarat,Rural,Medium High-Street,5000,2018-02-12,5,5457,7442362,West,0,0,8,29,0,0,0,0,0,0
